net.md_5.bungee.api.event.LoginEvent,loginevent
net.md_5.bungee.api.event.PreLoginEvent,preloginevent
net.md_5.bungee.api.event.ProxyPingEvent,proxypingevent
net.md_5.bungee.api.event.PermissionCheckEvent,permissioncheckevent
net.md_5.bungee.api.event.PlayerDisconnectEvent,playerdisconnectevent
net.md_5.bungee.api.event.PlayerHandshakeEvent,playerhandshakeevent
net.md_5.bungee.api.event.PostLoginEvent,postloginevent
net.md_5.bungee.api.event.ProxyReloadEvent,proxyreloadevent
net.md_5.bungee.api.event.ServerConnectedEvent,serverconnectedevent
net.md_5.bungee.api.event.ServerConnectEvent,serverconnectevent
net.md_5.bungee.api.event.ServerDisconnectEvent,serverdisconnectevent
net.md_5.bungee.api.event.ServerKickEvent,serverkickevent
net.md_5.bungee.api.event.ServerSwitchEvent,serverswitchevent
net.md_5.bungee.api.event.SettingsChangedEvent,settingschangedevent
net.md_5.bungee.api.event.ChatEvent,chatevent
net.md_5.bungee.api.event.PluginMessageEvent,pluginmessageevent
net.md_5.bungee.api.event.TabCompleteEvent,tabcompleteevent
net.md_5.bungee.api.event.TabCompleteResponseEvent,tabcompleteresponseevent